char_count,word_count,token_count
11507,1978,2367
8906,1479,1982
7291,1250,1537
20289,3471,4445
6769,1170,1439
10813,1863,2210
8273,1409,1876
17564,3043,3724
18526,3256,3931
54215,9288,10843
29882,5110,6195
8654,1467,1751
4251,705,901
22318,3895,4519
17080,2809,3849
13105,2270,2802
3299,546,693
904,153,202
17659,3090,3707
9569,1654,1945
5633,947,1267
2779,473,644
6297,1079,1316
6605,1097,1416
72683,12656,15021
10139,1761,2302
23719,4147,5172
22430,3885,4916
18107,3115,3684
12644,2165,2580
7600,1300,1653
11013,1909,2314
19545,3420,4044
23836,3957,4851
15564,2700,3437
12933,2231,2763
21687,3782,4579
17783,3123,3621
30767,5505,7448
24594,4297,5418
10440,1790,2242
33532,5855,7442
7974,1422,1875
20294,3618,4695
11185,1930,2330
21147,3575,4402
17449,2936,3650
12694,2122,2670
23055,3887,4656
16559,2781,3354
17905,3143,3850
18214,3251,4017
16624,2834,3539
21118,3538,4222
9441,1597,1968
1358,225,306
25123,4462,5653
17560,3117,3947
10499,1825,2175
56837,9855,12224
25014,4432,5561
35245,6031,7280
12948,2248,2847
16195,2861,3469
21745,3875,4779
11534,1957,2402
20955,3581,4439
8712,1568,1921
39860,7044,8669
14017,2343,2812
30302,5321,6427
2426,428,500
45091,7883,10020
41261,7168,8737
9228,1674,2134
19326,3415,4277
9569,1682,2188
38496,6791,8511
16572,3003,3504
15380,2675,3346
18988,3202,4182
2297,404,498
10089,1765,2121
5736,977,1189
3612,629,792
5884,1028,1222
15247,2628,3417
8721,1457,1843
39427,6579,7891
18233,3101,3757
16655,2821,3525
83984,14392,17055
16157,2776,3276
11024,1916,2343
19106,3362,4052
6826,1184,1609
9684,1670,2007
11806,2127,2658
44345,7684,8872
16816,2948,3659
5285,946,1248
13537,2301,3054
48229,8475,11037
10701,1834,2243
24088,4096,4902
34024,5694,7017
12329,2141,2718
28504,4838,5610
10151,1775,2210
9733,1659,2191
9452,1624,2042
14374,2495,3019
12375,2157,2704
41374,7410,9629
16843,3027,3694
17201,3028,3589
15072,2644,3338
19190,3362,4213
26477,4662,5723
16591,2996,3620
964,173,222
39172,6875,8461
9767,1672,2162
38856,6801,8154
24710,4351,5116
19140,3300,4357
13263,2328,3209
12881,2226,2751
15975,2804,3688
84906,14890,18604
31727,5591,6881
13376,2275,2844
13925,2363,3132
20207,3501,4170
12671,2187,2636
12775,2312,2830
12234,2107,2684
7252,1265,1644
31972,5548,6645
18774,3305,4089
7871,1407,1813
30606,5319,6750
11422,2009,2417
17487,3085,3678
15833,2662,3237
19089,3277,4016
137557,23977,29142
21747,3669,4525
2630,468,558
23207,3929,4741
18077,3027,3780
19067,3246,4025
44770,7537,10010
16459,2845,3692
28712,5021,6702
42448,7283,8805
9612,1652,2050
6664,1140,1369
10003,1715,2191
7006,1289,1561
19501,3399,4168
9815,1709,2083
16637,2877,3673
7814,1356,1697
9706,1658,2207
12494,2081,2641
8038,1393,1702
11411,2041,2582
9941,1707,2251
12292,2162,2703
21200,3738,4519
15010,2688,3097
15730,2756,3464
48350,8140,9703
72494,12267,15527
4783,809,1099
98473,16751,21198
18447,3158,3874
56240,9829,11967
39982,6901,8226
5654,983,1251
27612,4777,5864
32025,5512,6700
15576,2714,3487
39957,6907,8477
5562,961,1267
25899,4531,5522
16578,2826,3792
13441,2290,2815
26786,4623,5453
112517,19586,24319
13671,2391,3007
32974,5702,6831
5976,1033,1332
42977,7573,10313
20109,3504,4572
33442,5856,7249
23671,4239,5596
7284,1229,1510
118882,20736,24326
20514,3500,4066
13562,2438,2790
39321,6671,8130
40648,7009,8751
34149,5922,6834
32810,5506,6251
135800,23323,30591
22612,4037,4835
31424,5460,6688
37934,6655,8348
23376,4051,5092
18721,3153,4253
30611,5358,6551
18533,3183,3912
46386,8080,10540
12611,2192,2729
37062,6296,7830
3411,601,788
50336,8624,10603
7846,1336,1778
11767,2008,2441
476538,82302,98720
6727,1132,1402
12902,2318,2845
13563,2354,2941
7803,1335,1644
20184,3507,4382
13358,2338,2887
3359,598,786
7314,1298,1630
12026,2150,2736
8744,1534,1916
44532,7523,9720
13106,2289,3015
10363,1716,2015
8244,1441,1849
55504,9307,11305
16580,2851,3462
11290,2038,2541
31485,5419,6574
9284,1673,2113
24528,4436,5427
23828,4021,5137
28651,4890,5881
14935,2570,3131
19584,3473,4403
7546,1308,1562
13325,2308,2864
15811,2762,3594
12051,2110,2817
7762,1344,1680
35740,6279,7645
10694,1894,2463
44073,7566,9210
14313,2546,3123
27263,4661,6033
22999,4004,5217
7362,1327,1653
11422,1916,2310
13782,2317,2877
11020,1954,2400
5515,906,1235
22957,3963,5011
31389,5477,6986
11967,2141,2604
13593,2408,3021
18678,3229,4177
13754,2403,3026
44792,7683,9739
31104,5408,7047
54925,9399,12519
42247,7170,9130
14229,2469,3233
28417,4773,6249
15437,2606,3371
14919,2548,2989
20386,3537,4528
41006,7078,8195
12887,2289,2781
23875,4131,5185
5634,1017,1253
22068,3906,4731
20207,3506,4305
53398,9281,11804
20928,3681,4650
77874,13438,16790
38735,6869,8488
16501,2838,3786
29960,5201,6261
30250,5125,6494
5946,1054,1318
16011,2779,3525
12263,2141,2661
26184,4540,5991
15819,2642,3184
12142,2093,2656
15074,2648,3235
9877,1761,2113
13279,2380,2895
27731,4796,5779
15190,2760,3515
46242,7934,9253
19149,3273,3788
37066,6385,7762
27016,4795,6079
26905,4515,5550
39629,6848,8606
8777,1429,1728
14358,2588,3093
18072,3228,3922
108400,18380,23186
19564,3266,3950
12247,2017,2549
45373,7915,10464
14049,2417,3098
33513,5836,7106
42951,7617,8843
50377,8639,10479
31339,5284,6537
16024,2861,3567
15849,2728,3385
13347,2349,2943
25785,4524,5607
43179,7487,9152
20198,3503,4540
18145,3163,3918
10260,1774,2204
38776,6959,8924
20232,3487,4582
7041,1236,1498
20809,3785,4449
4245,733,894
12334,2105,2584
7614,1369,1657
20340,3430,4500
18696,3312,4370
19916,3476,4304
14905,2562,3211
7942,1352,1911
12581,2175,2610
17969,3201,3919
15720,2748,3384
14481,2555,3141
12276,2190,2790
14368,2555,3080
80858,14349,17390
36065,6292,7943
36673,6306,7909
41454,7173,8303
20745,3695,4919
17811,3044,3697
27569,4856,6209
16165,2828,3423
33145,5800,7350
14352,2443,2974
19882,3357,4055
7128,1202,1404
14371,2407,2979
66625,11748,14138
50809,8817,11546
30590,5237,6644
38967,6730,8164
8496,1425,1731
17172,2946,3612
14171,2429,2997
17633,3011,3858
37870,6624,8028
23400,4066,4853
67891,11337,15023
17891,3158,3880
7169,1257,1581
35425,5894,6988
21542,3791,4621
24786,4380,5555
17733,2930,3692
40747,7195,8789
14648,2544,3032
26805,4712,5810
41004,7447,9034
46010,7661,9118
49602,8343,10390
39215,6780,8140
16580,2922,3611
43226,7471,9172
5034,885,1086
13399,2388,2773
29437,4959,5859
40275,6890,8785
97467,16791,19974
19013,3338,4050
22404,3938,4810
174014,30741,37390
10453,1765,2258
15805,2721,3185
10723,1870,2293
10824,1907,2365
69007,12408,15258
9819,1731,2061
10404,1782,2289
82994,14257,17736
10944,1815,2280
28006,4810,5854
38904,6778,8064
26966,4536,5498
53016,9107,11710
20822,3676,4531
21467,3821,4840
20106,3613,4379
22789,4028,5070
18072,3202,4166
15794,2733,3483
8749,1520,1950
15907,2793,3384
29028,5245,6307
12901,2168,2753
15663,2649,3251
21252,3860,4636
26037,4466,5631
10036,1732,2107
24549,4270,5268
41826,7155,8634
36278,6342,7888
16391,2881,3662
31323,5446,7002
53240,9410,12000
21775,3814,4510
28391,4892,6362
12285,2111,2661
12595,2185,2756
10751,1898,2353
26973,4675,5984
32886,5670,6965
26773,4710,5848
9847,1747,2329
35464,5953,7122
14203,2457,2991
30685,5437,6750
12708,2279,2735
15179,2582,3266
27672,4635,5996
7855,1400,1678
26023,4488,5264
50898,9048,11886
68203,11229,14502
32008,5657,7248
10329,1831,2373
9173,1616,2069
14678,2483,3061
45066,7654,9557
111127,18991,23304
33980,5787,6914
51917,9279,11751
34512,5883,7030
19120,3389,4287
27856,4894,5976
34572,5994,7332
22459,4003,5118
22540,3977,5022
12732,2279,2926
17653,2942,3804
22368,3861,4864
56150,9640,12064
15454,2677,3238
15122,2540,3068
21251,3677,4451
34484,5980,7415
23278,4006,4974
35269,6085,7462
17728,3053,3849
17077,3084,3778
72257,12808,16051
8601,1521,2050
28056,4827,5896
6348,1070,1332
25640,4463,5821
28041,4899,5871
23581,4208,5250
8549,1462,1835
108697,18777,24707
115490,19471,24099
8843,1508,1913
40811,7161,8948
3419,614,688
40255,7014,8558
25230,4309,5320
